GameMap:64:64:null:
###
Tile:lake2:33:0,AnimatedTile:water1:0:0,Tile:lake2:33:0,Tile:lake2:33:0,AnimatedTile:water1:0:0,Tile:lake2:33:0,AnimatedTile:water1:0:0,Tile:lake2:33:0,Tile:lake2:33:0,AnimatedTile:water2:0:0,Tile:lake2:33:0,AnimatedTile:water1:0:0,Tile:lake2:33:0,AnimatedTile:fish1:0:0,AnimatedTile:fish1:0:0,AnimatedTile:stone3:0:0,Tile:lake2:33:0,Tile:lake2:33:0,Tile:lake2:35:0,AnimatedTile:fish1:0:0,Tile:lake2:35:0,Tile:lake2:35:0,Tile:lake2:35:0,AnimatedTile:water1:0:0,Tile:lake2:35:0,AnimatedTile:fish1:0:0,Tile:lake2:35:0,Tile:lake2:35:0,AnimatedTile:water1:0:0,AnimatedTile:water1:0:0,AnimatedTile:water1:0:0,Tile:lake2:35:0,Tile:lake2:35:0,Tile:lake2:35:0,AnimatedTile:water2:0:0,Tile:lake2:35:0,Tile:lake2:35:0,Tile:lake2:35:0,Tile:lake2:35:0,AnimatedTile:water2:0:0,Tile:lake2:35:2,AnimatedTile:water_left_top1:0:2,AnimatedTile:water_left_middle1:0:2,AnimatedTile:water_left_middle1:0:2,AnimatedTile:water_left_bottom1:0:2,Tile:lake2:33:0,AnimatedTile:water2:0:0,Tile:lake2:33:0,AnimatedTile:water1:0:0,Tile:lake2:34:0,Tile:lake2:33:0,AnimatedTile:water2:0:0,AnimatedTile:fish2:0:0,Tile:lake2:33:0,AnimatedTile:water1:0:0,Tile:lake2:33:0,Tile:lake2:33:0,Tile:lake2:33:0,Tile:lake2:33:0,AnimatedTile:water2:0:0,Tile:lake2:33:0,Tile:lake2:33:0,Tile:lake2:33:0,AnimatedTile:water2:0:0,
Tile:lake2:33:0,Tile:lake2:33:0,AnimatedTile:water2:0:0,AnimatedTile:water2:0:0,AnimatedTile:water2:0:0,AnimatedTile:water1:0:0,Tile:lake2:33:0,AnimatedTile:water2:0:2,AnimatedTile:water_left_top1:0:2,AnimatedTile:water_left_middle1:0:2,AnimatedTile:water_left_middle1:0:2,AnimatedTile:water_left_middle1:0:2,AnimatedTile:water_left_middle1:0:2,AnimatedTile:water_left_bottom1:0:2,Tile:lake2:33:0,Tile:lake2:33:0,AnimatedTile:stone3:0:0,AnimatedTile:water1:0:0,AnimatedTile:fish1:0:0,Tile:lake2:35:0,AnimatedTile:water1:0:0,Tile:lake2:35:0,Tile:lake2:35:0,Tile:lake2:35:0,Tile:lake2:35:0,Tile:lake2:35:0,Tile:lake2:35:0,AnimatedTile:water2:0:0,Tile:lake2:35:0,Tile:lake2:35:0,Tile:lake2:35:0,AnimatedTile:water1:0:0,AnimatedTile:fish2:0:0,AnimatedTile:water1:0:0,AnimatedTile:water1:0:0,AnimatedTile:fish2:0:0,AnimatedTile:water1:0:0,Tile:lake2:35:0,AnimatedTile:water2:0:0,AnimatedTile:water2:0:0,Tile:lake2:35:2,AnimatedTile:water_middle_top1:0:1,Tile:grass1:41:0,Tile:grass1:41:0,AnimatedTile:water_middle_bottom1:0:2,AnimatedTile:water2:0:0,Tile:lake2:34:0,Tile:lake2:33:0,Tile:lake2:34:0,AnimatedTile:water2:0:0,AnimatedTile:stone3:0:0,Tile:lake2:33:0,Tile:lake2:33:0,Tile:lake2:33:0,Tile:lake2:33:0,Tile:lake2:33:2,AnimatedTile:water_left_top1:0:2,AnimatedTile:water_left_middle1:0:2,AnimatedTile:water_left_middle1:0:2,AnimatedTile:water_left_middle1:0:2,AnimatedTile:water_left_middle1:0:2,AnimatedTile:water_left_middle1:0:2,AnimatedTile:water_left_middle1:0:2,AnimatedTile:water_left_middle1:0:2,
AnimatedTile:water1:0:0,AnimatedTile:water2:0:0,AnimatedTile:water1:0:0,Tile:lake2:33:0,AnimatedTile:water1:0:0,Tile:lake2:33:0,Tile:lake2:33:0,Tile:lake2:33:2,AnimatedTile:water_middle_top1:0:1,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,AnimatedTile:water_middle_bottom1:0:2,AnimatedTile:water1:0:2,AnimatedTile:water_left_top1:0:2,AnimatedTile:water_left_middle1:0:2,AnimatedTile:water_left_middle1:0:2,AnimatedTile:water_left_middle1:0:2,AnimatedTile:water_left_middle1:0:2,AnimatedTile:water_left_middle1:0:2,AnimatedTile:water_left_middle1:0:2,AnimatedTile:water_left_middle1:0:2,AnimatedTile:water_left_bottom1:0:2,AnimatedTile:water2:0:0,Tile:lake2:35:0,AnimatedTile:water1:0:0,Tile:lake2:35:0,Tile:lake2:35:0,AnimatedTile:fish1:0:0,Tile:lake2:35:0,Tile:lake2:35:0,Tile:lake2:35:0,Tile:lake2:35:0,Tile:lake2:35:0,Tile:lake2:35:0,AnimatedTile:water1:0:0,Tile:lake2:35:0,Tile:lake2:35:0,Tile:lake2:35:0,AnimatedTile:water2:0:2,AnimatedTile:water_middle_top1:0:1,Tile:grass1:41:0,Tile:grass1:41:0,AnimatedTile:water_middle_bottom1:0:2,Tile:lake2:34:0,Tile:lake2:34:0,AnimatedTile:fish2:0:0,AnimatedTile:water1:0:0,AnimatedTile:stone1:0:0,AnimatedTile:stone4:0:0,AnimatedTile:water1:0:0,Tile:lake2:33:0,AnimatedTile:water1:0:0,Tile:lake2:33:2,AnimatedTile:water_left_top1:0:2,AnimatedTile:water_inner_right_bottom1:0:1,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,
AnimatedTile:water_left_middle1:0:2,AnimatedTile:water_left_middle1:0:2,AnimatedTile:water_left_bottom1:0:2,AnimatedTile:water1:0:0,AnimatedTile:stone1:0:0,Tile:lake2:33:0,AnimatedTile:water1:0:0,Tile:lake2:33:2,AnimatedTile:water_middle_top1:0:1,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,AnimatedTile:water_middle_bottom1:0:2,AnimatedTile:fish1:0:2,AnimatedTile:water_middle_top1:0:1,Tile:grass1:57:0,Tile:grass1:57:0,Tile:grass1:57:0,Tile:grass1:57:0,Tile:grass1:57:0,Tile:grass1:57:0,Tile:grass1:41:0,AnimatedTile:water_middle_bottom1:0:2,Tile:lake2:35:0,Tile:lake2:35:0,Tile:lake2:35:0,Tile:lake2:35:0,Tile:lake2:35:0,AnimatedTile:water2:0:0,Tile:lake2:35:0,AnimatedTile:water1:0:0,Tile:lake2:35:0,AnimatedTile:water2:0:0,Tile:lake2:35:0,Tile:lake2:35:0,Tile:lake2:35:0,Tile:lake2:35:0,AnimatedTile:water2:0:0,Tile:lake2:35:0,Tile:lake2:35:2,AnimatedTile:water_middle_top1:0:1,Tile:grass1:41:0,Tile:grass1:41:0,AnimatedTile:water_middle_bottom1:0:2,Tile:lake2:34:0,AnimatedTile:water2:0:0,Tile:lake2:34:0,Tile:lake2:34:0,AnimatedTile:fish2:0:0,Tile:lake2:34:0,Tile:lake2:33:0,Tile:lake2:33:2,AnimatedTile:water_left_top1:0:2,AnimatedTile:water_left_middle1:0:2,AnimatedTile:water_inner_right_bottom1:0:1,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,
Tile:grass1:41:0,Tile:grass1:41:0,AnimatedTile:water_middle_bottom1:0:2,AnimatedTile:stone1:0:0,Tile:lake2:33:0,AnimatedTile:water1:0:0,Tile:lake2:33:0,AnimatedTile:water2:0:2,AnimatedTile:water_middle_top1:0:1,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,AnimatedTile:water_inner_right_top1:0:2,AnimatedTile:water_left_middle1:0:2,AnimatedTile:water_inner_right_bottom1:0:1,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,AnimatedTile:water_inner_right_top1:0:2,AnimatedTile:water_left_middle1:0:2,AnimatedTile:water_left_bottom1:0:2,Tile:lake2:33:0,Tile:lake2:33:0,Tile:lake2:33:2,AnimatedTile:water_left_top1:0:2,AnimatedTile:water_left_middle1:0:2,AnimatedTile:water_left_middle1:0:2,AnimatedTile:water_left_middle1:0:2,AnimatedTile:water_left_middle1:0:2,AnimatedTile:water_left_middle1:0:2,AnimatedTile:water_left_middle1:0:2,AnimatedTile:water_left_middle1:0:2,AnimatedTile:water_left_middle1:0:2,AnimatedTile:water_left_middle1:0:2,AnimatedTile:water_left_middle1:0:2,AnimatedTile:water_left_middle1:0:2,AnimatedTile:water_inner_right_bottom1:0:1,Tile:grass1:41:0,Tile:grass1:41:0,AnimatedTile:water_inner_right_top1:0:2,AnimatedTile:water_left_middle1:0:2,AnimatedTile:water_left_middle1:0:2,AnimatedTile:water_left_middle1:0:2,AnimatedTile:water_left_middle1:0:2,AnimatedTile:water_left_middle1:0:2,AnimatedTile:water_left_middle1:0:2,AnimatedTile:water_left_middle1:0:2,AnimatedTile:water_left_middle1:0:2,AnimatedTile:water_inner_right_bottom1:0:1,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,
Tile:grass1:41:0,Tile:grass1:41:0,AnimatedTile:water_inner_right_top1:0:2,AnimatedTile:water_left_middle1:0:2,AnimatedTile:water_left_middle1:0:2,AnimatedTile:water_left_middle1:0:2,AnimatedTile:water_left_middle1:0:2,AnimatedTile:water_left_middle1:0:2,AnimatedTile:water_inner_right_bottom1:0:1,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,AnimatedTile:water_middle_bottom1:0:2,Tile:lake2:33:0,AnimatedTile:fish1:0:0,Tile:lake2:33:2,AnimatedTile:water_middle_top1:0:1,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,
Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,AnimatedTile:water_inner_left_top1:0:2,AnimatedTile:water_right_bottom1:0:2,Tile:lake2:33:0,Tile:lake2:33:0,Tile:lake2:33:2,AnimatedTile:water_middle_top1:0:1,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,
Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,AnimatedTile:water_middle_bottom1:0:2,Tile:lake2:33:0,AnimatedTile:water1:0:0,Tile:lake2:33:2,AnimatedTile:water_left_top1:0:2,AnimatedTile:water_inner_right_bottom1:0:1,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,
Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:mountain1:0:2,Tile:mountain1:1:2,Tile:mountain1:2:2,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,AnimatedTile:water_middle_bottom1:0:2,Tile:lake2:33:0,Tile:lake2:33:2,AnimatedTile:water_left_top1:0:2,AnimatedTile:water_inner_right_bottom1:0:1,Tile:grass1:41:1,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,
Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:mountain1:9:2,Tile:mountain1:10:0,Tile:mountain1:11:2,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,AnimatedTile:water_inner_left_top1:0:2,AnimatedTile:water_right_bottom1:0:2,Tile:lake2:33:0,Tile:lake2:33:2,AnimatedTile:water_middle_top1:0:1,Tile:grass1:42:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,
Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:mountain1:18:2,Tile:mountain1:19:2,Tile:mountain1:20:2,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:42:0,AnimatedTile:water_inner_left_top1:0:2,AnimatedTile:water_right_middle1:0:2,AnimatedTile:water_right_middle1:0:2,AnimatedTile:water_right_bottom1:0:2,Tile:lake2:33:0,Tile:lake2:33:2,AnimatedTile:water_left_top1:0:2,AnimatedTile:water_inner_right_bottom1:0:1,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,Tile:grass1:41:0,
