GameState
###
Player:SIMON:0|4:576|2133:map5:
&&&
BornAnew:0:Born anew:true:false:2:
Maze:1:Maze:false:false:0:
ForestMystery:2:Forest Mystery:false:false:0:
CatchUpWithBill:3:Catch up with Bill:false:false:0:
OceanChest:4:Ocean Chest:false:false:0:
MedallionHandOver:5:End of the journey:false:false:0:
&&&
0
&&&
false
###
NPC:JOHN:100002:4.0:maze:751|89:villager2:stand:LEFT:0:
NPC:MAZER:89755:4.0:maze:45|4433:villager2:stand:DOWN:0:
NPC:BUYET:89837:4.0:map12:1415|1831:villager0:stand:UP:0:
NPC:SHAK:89824:4.0:map12:2417|2015:villager0:stand:RIGHT:0:
NPC:TIMBO:89829:4.0:map12:1578|2117:villager2:stand:DOWN:0:
NPC:STELLA:89843:4.0:map12:2285|2522:villager3:wander_random:DOWN:0:
NPC:FAKE:89844:4.0:map12:1068|1351:villager0:wander_random:DOWN:0:
NPC:TOOOTH:89848:4.0:map12:1805|1498:villager2:stand:DOWN:0:
NPC:MANDY:89833:4.0:map12:1145|1769:villager3:stand:DOWN:0:
NPC:PATRICK:89842:4.0:map12:1413|2647:villager0:wander_random:RIGHT:0:
NPC:WENDY:89823:4.0:map12:1859|448:villager3:wander_random:DOWN:0:
NPC:SHANTY:89830:4.0:map12:1836|1772:villager3:stand:DOWN:0:
NPC:TOTO:89838:4.0:map12:1765|2071:villager0:wander_random:DOWN:0:
NPC:TERK:89849:4.0:map12:1407|1119:villager3:wander_random:DOWN:0:
NPC:SHOPY:89836:4.0:map12:1187|1877:villager2:wander_random:DOWN:0:
NPC:JUJU:89846:4.0:map12:725|1372:villager2:wander_random:DOWN:0:
NPC:SHAKIRA:89825:4.0:map12:2462|2019:villager3:stand:LEFT:0:
NPC:DT:89812:4.0:map12:699|825:villager0:wander_random:DOWN:0:
NPC:ROBBIE:89814:4.0:map12:79|1459:villager2:wander_random:RIGHT:0:
NPC:default:89827:4.0:map12:1150|2105:villager0:stand:DOWN:0:
NPC:ROSET:89834:4.0:map12:1727|1898:villager2:wander_random:DOWN:0:
NPC:TURK:89841:4.0:map12:2281|1355:villager2:wander_random:DOWN:0:
NPC:LEE:89811:4.0:map12:558|357:villager0:stand:DOWN:0:
NPC:TYKE:89831:4.0:map12:1413|1765:villager2:stand:DOWN:0:
NPC:TY:89826:4.0:map12:2615|1853:villager2:wander_random:DOWN:0:
NPC:TANYA:89839:4.0:map12:1573|1883:villager3:wander_random:DOWN:0:
NPC:ROSE:89840:4.0:map12:1445|2017:villager3:wander_random:DOWN:0:
NPC:TEREK:89845:4.0:map12:1276|1557:villager0:wander_random:DOWN:0:
NPC:NELLY:89832:4.0:map12:1923|2117:villager0:stand:DOWN:0:
NPC:TROOPZ:89813:4.0:map12:1494|712:villager0:wander_random:DOWN:0:
NPC:TAYTAY:89835:4.0:map12:1145|2165:villager2:stand:UP:0:
NPC:GOLDBRIDGE:89847:4.0:map12:1661|1089:villager2:wander_random:DOWN:0:
NPC:SHAY:89850:4.0:map12:1561|1547:villager3:wander_random:DOWN:0:
NPC:LINA:89808:4.0:map11:2677|1248:villager3:wander_random:DOWN:0:
NPC:NERDY:89805:4.0:map11:2273|2257:villager3:wander_random:UP:0:
NPC:FLETCH:89804:4.0:map11:1862|1526:villager2:wander_random:DOWN:0:
NPC:TAREK:89799:4.0:map11:1759|302:villager0:stand:DOWN:0:
NPC:DRE:89809:4.0:map11:2972|944:villager2:wander_random:UP:0:
NPC:TRACKY:89807:4.0:map11:1655|2627:villager2:wander_random:DOWN:0:
NPC:DROOP:89800:4.0:map11:2056|318:villager0:wander_random:DOWN:0:
NPC:RODY:89798:4.0:map11:784|43:villager0:wander_random:DOWN:0:
NPC:LAURA:89801:4.0:map11:2220|494:villager3:wander_random:DOWN:0:
NPC:SNOOP:89806:4.0:map11:2018|2927:villager2:wander_random:DOWN:0:
NPC:LARA:89802:4.0:map11:701|555:villager3:wander_random:DOWN:0:
NPC:STOOK:89803:4.0:map11:1163|1123:villager2:wander_random:DOWN:0:
NPC:REMMY:89872:4.0:map14:2484|819:villager2:stand:RIGHT:0:
NPC:PETROV:89866:4.0:map14:1881|1925:villager2:wander_random:UP:0:
NPC:SMITHY:89879:4.0:map14:2497|2348:villager0:wander_random:DOWN:0:
NPC:COMRAD:89865:4.0:map14:1282|2735:villager0:wander_random:DOWN:0:
NPC:SUPRA:89876:4.0:map14:2793|45:villager3:wander_random:DOWN:0:
NPC:LILY:89875:4.0:map14:2539|821:villager3:stand:LEFT:0:
NPC:MYRA:89878:4.0:map14:2317|2693:villager3:wander_random:DOWN:0:
NPC:CLAUDE:89877:4.0:map14:2157|907:villager2:wander_random:DOWN:0:
NPC:TIMBOOOO:89862:4.0:map14:741|579:villager2:wander_random:DOWN:0:
NPC:DIMITRI:89869:4.0:map14:2745|1411:villager0:stand:UP:0:
NPC:RESPECT:89863:4.0:map14:675|1726:villager3:stand:UP:0:
NPC:IVAN:89864:4.0:map14:575|2345:villager0:wander_random:RIGHT:0:
NPC:BERBA:89871:4.0:map14:2307|813:villager3:stand:DOWN:0:
NPC:BERBATOV:89867:4.0:map14:2745|1372:villager2:stand:DOWN:0:
NPC:RANDOLPH:89868:4.0:map14:2908|1180:villager2:wander_random:DOWN:0:
NPC:CRAIG:89861:4.0:map14:1412|463:villager2:wander_random:DOWN:0:
NPC:CHO:89854:4.0:map13:2402|845:villager3:wander_random:DOWN:0:
NPC:ZACHARIAS:89857:4.0:map13:421|2527:villager2:wander_random:DOWN:0:
NPC:MOLLY:89853:4.0:map13:151|1036:villager3:wander_random:DOWN:0:
NPC:PARVATI:89855:4.0:map13:1192|1730:villager3:wander_random:DOWN:0:
NPC:PADMA:89851:4.0:map13:409|1529:villager0:wander_random:DOWN:0:
NPC:LEVY:89858:4.0:map13:2477|2574:villager2:wander_random:DOWN:0:
NPC:PANSY:89852:4.0:map13:705|979:villager0:wander_random:DOWN:0:
NPC:LAVENDER:89856:4.0:map13:1871|2051:villager3:wander_random:DOWN:0:
NPC:RESTY:89795:4.0:map10:1302|799:villager2:wander_random:DOWN:0:
NPC:MOOSE:89797:4.0:map10:862|2469:villager0:wander_random:DOWN:0:
NPC:READE:89792:4.0:map10:1694|731:villager0:stand:UP:0:
NPC:BROKE:89791:4.0:map10:2061|1772:villager2:stand:DOWN:0:
NPC:BRADLEY:89793:4.0:map10:857|924:villager0:wander_random:DOWN:0:
NPC:BROKER:89790:4.0:map10:2153|1473:villager3:stand:UP:0:
NPC:BRAD:89794:4.0:map10:853|1297:villager2:wander_random:DOWN:0:
NPC:MIST:89796:4.0:map10:400|2874:villager3:wander_random:DOWN:0:
NPC:Bill:19554:4.0:house1:145|237:villager2:wander_random:DOWN:3:
NPC:HANK:89692:4.0:map3:1039|1915:villager2:stand:UP:0:
NPC:TOBY:89680:4.0:map3:1529|2600:villager0:wander_random:DOWN:0:
NPC:ROBERT:89689:4.0:map3:1989|2561:villager2:stand:DOWN:0:
NPC:KEVIN:89685:4.0:map3:723|1321:villager0:stand:DOWN:0:
NPC:ANGELA:89702:4.0:map3:1267|2060:villager3:wander_random:DOWN:0:
NPC:DAVID:89693:4.0:map3:555|2089:villager2:wander_random:DOWN:0:
NPC:JAN:89699:4.0:map3:1661|2380:villager3:wander_random:DOWN:0:
NPC:OSCAR:89757:4.0:map3:1250|2608:villager0:stand:LEFT:0:
NPC:CATHY:89710:4.0:map3:2869|2111:villager3:stand:DOWN:0:
NPC:ERIN:89698:4.0:map3:1883|2676:villager3:wander_random:DOWN:0:
NPC:ANDY:89683:4.0:map3:2160|1531:villager0:wander_random:DOWN:0:
NPC:STANLEY:89695:4.0:map3:723|1360:villager2:stand:UP:0:
NPC:JIM:89686:4.0:map3:341|1783:villager0:stand:DOWN:0:
NPC:DARYLL:89696:4.0:map3:2136|1394:villager2:stand:DOWN:0:
NPC:MOSE:89708:4.0:map3:595|1662:villager0:wander_random:DOWN:0:
NPC:PAM:89705:4.0:map3:512|1386:villager3:stand:DOWN:0:
NPC:DWIGHT:89687:4.0:map3:878|1932:villager0:wander_random:DOWN:0:
NPC:AKIRA:89759:4.0:map3:960|2676:villager3:stand:RIGHT:0:
NPC:RYAN:89681:4.0:map3:1736|1521:villager0:wander_random:DOWN:0:
NPC:MICHAEL:89682:4.0:map3:1340|1451:villager0:stand:RIGHT:0:
NPC:PACKER:89688:4.0:map3:1197|2613:villager2:stand:RIGHT:0:
NPC:CREED:89684:4.0:map3:359|1463:villager0:stand:LEFT:0:
NPC:PHYLLIS:89701:4.0:map3:1763|1845:villager3:wander_random:DOWN:0:
NPC:MEREDITH:89703:4.0:map3:2137|1425:villager3:stand:UP:0:
NPC:NATE:89694:4.0:map3:1385|1447:villager2:stand:LEFT:0:
NPC:KELLY:89706:4.0:map3:860|1830:villager3:stand:UP:0:
NPC:GABE:89707:4.0:map3:2145|2045:villager0:wander_random:DOWN:0:
NPC:CAROL:89674:4.0:map2:1829|575:villager3:wander_random:DOWN:0:
NPC:dRAKE:89677:4.0:map2:2199|1577:villager0:wander_random:DOWN:0:
NPC:JENNIE:89678:4.0:map2:477|470:villager3:wander_random:DOWN:0:
NPC:CHAD:89673:4.0:map2:1417|878:villager2:wander_random:LEFT:0:
NPC:MENSAH:90144:4.0:map2:1157|338:villager2:stand:RIGHT:0:
NPC:TODD:89675:4.0:map2:1253|635:villager0:wander_random:DOWN:0:
NPC:JIMMY:89676:4.0:map2:435|2393:villager2:wander_random:DOWN:0:
NPC:MIKE:89672:4.0:map1:2183|2699:villager2:wander_random:LEFT:0:
NPC:BIG STEVE:89669:4.0:map1:1203|2670:villager0:wander_random:LEFT:0:
NPC:JACK:89671:4.0:map1:503|2646:villager2:stand:UP:0:
NPC:BILLIE:89670:4.0:map1:1637|696:villager3:wander_random:UP:0:
NPC:JESSY:90143:4.0:map1:2315|738:villager3:wander_random:DOWN:0:
NPC:GRAN:10059:4.0:map1:2155|1185:villager3:random_action:DOWN:0:
NPC:ARIANA:89763:4.0:map7:2485|1595:villager3:stand:DOWN:0:
NPC:BRUNO:89765:4.0:map7:441|2621:villager2:wander_random:DOWN:0:
NPC:JUSTIN:89764:4.0:map7:291|1310:villager0:wander_random:DOWN:0:
NPC:MJ:89766:4.0:map7:1007|2859:villager2:wander_random:DOWN:0:
NPC:KENDRICK:89960:4.0:map19:1399|944:villager0:wander_random:UP:0:
NPC:BIGGIE:89965:4.0:map19:2816|1024:villager2:wander_random:DOWN:0:
NPC:NICKI:89958:4.0:map19:563|1057:villager3:wander_random:RIGHT:0:
NPC:CARDI:89959:4.0:map19:1487|1071:villager3:wander_random:LEFT:0:
NPC:BADDIE:89969:4.0:map19:1409|2731:villager3:stand:DOWN:0:
NPC:CHAINS:89968:4.0:map19:2368|2505:villager0:wander_random:DOWN:0:
NPC:SOUPY:89961:4.0:map19:2625|477:villager0:stand:DOWN:0:
NPC:CURTIS:89955:4.0:map19:991|604:villager2:wander_random:DOWN:0:
NPC:ALICIA:89966:4.0:map19:2656|1246:villager3:wander_random:DOWN:0:
NPC:TENTACION:89971:4.0:map19:1883|2449:villager0:wander_random:DOWN:0:
NPC:JOYNER:89963:4.0:map19:1934|727:villager2:wander_random:DOWN:0:
NPC:MARSHALL:89956:4.0:map19:961|325:villager0:wander_random:DOWN:0:
NPC:CUBE:89954:4.0:map19:1499|25:villager2:wander_random:DOWN:0:
